case_id,policy_id,condition_id,family,sampling_seed,score_status,valid_for_scoring,invalid_reasons,missing_scoring_inputs,missing_report_inputs,raw_directory,authoritative_directory,observation_delay_s,inference_delay_add_s,collision_coverage,sensor_uncertainty,observed_reach_before_closure,scored_reach_before_closure,observed_acquired,scored_acquired,observed_lifted,scored_lifted,observed_carried,scored_carried,observed_released_in_bin,scored_released_in_bin,observed_full_task,scored_full_task,observed_dropped,scored_dropped,observed_support_verified,scored_support_verified,support_required,support_telemetry_status,support_confirmation_s,packet_robot_contact_peak_n,packet_bin_contact_peak_n,event_reach_s,event_closure_s,event_acquisition_s,event_lift_s,event_carry_s,event_release_in_bin_s,event_full_task_s,event_first_drop_s,max_lift_m,carry_distance_m,final_inside_bin,final_contacts_unloaded,final_speed_m_s,final_angular_speed_rad_s,minimum_pad_midpoint_to_object_m,bilateral_contact_duration_s,pad_packet_normal_force_peak_n,reach_distance_before_first_additional_closure_m,first_additional_closing_command_s,stop_reason,ik_rejects,hold_duration_s,stale_plan_hold_rows,replans,plans_activated,inference_errors,execution_rows,collision_reported_count,pad_environment_force_peak_n,physics_clock_max_error_s,duration_s,runtime_status,first_stop_time_s,terminal_event_kinds,logged_safety_event_counts,placement_release_commits,placement_release_commit_times_s,placement_release_events,playback_cap_dwell_rows,playback_cap_dwell_s,last_release_phase,terminal_cause,physical_completion_before_later_stop,completion_to_later_stop_s,full_task_final_inside_and_unloaded,packet_robot_contact_final_n,packet_bin_contact_final_n,full_task_final_robot_unloaded_bin_supported,packet_robot_peak_over_100n,latency_native_count,latency_native_mean_s,latency_native_median_s,latency_native_p95_s,latency_native_max_s,latency_delivery_count,latency_delivery_mean_s,latency_delivery_median_s,latency_delivery_p95_s,latency_delivery_max_s,latency_activation_count,latency_activation_mean_s,latency_activation_median_s,latency_activation_p95_s,latency_activation_max_s,latency_wall_count,latency_wall_mean_s,latency_wall_median_s,latency_wall_p95_s,latency_wall_max_s,video_path,video_present,scene_video_path,scene_video_present,video_relative_path,scene_video_relative_path
teacher__nominal__seed4242,teacher,nominal,nominal,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,available,NA,10.43884453177452,0.0,6.468,7.468,8.0,12.6,15.6,NA,NA,NA,0.32315754890441895,0.3250075524430625,False,False,4.3617166062874995e-06,7.354500525592903e-05,0.0,10.352,5.301003932952881,0.2528239592029284,1.484,safety_stop,0,0.0,0,20,19,0,2245,0,0.0,9.476691467114051e-07,19.952,completed,17.956,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 17.956, ""event"": ""safety_preempted""}]",59,0.47199999999999953,holding,wrist_extension,False,NA,False,10.41517561674118,0.0,False,False,20,0.8961287825950421,0.7879726579994895,1.186265346116852,1.2160722840344533,20,0.8961287825950421,0.7879726579994895,1.186265346116852,1.2160722840344533,19,0.8892631578947366,0.7839999999999989,1.1951999999999985,1.224,20,1.074525102111511,0.967764169559814,1.3576078252634034,1.4002132599707693,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__nominal__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4242/sim.mp4,True,../../video_reviews/teacher__nominal__seed4242/policy_review.mp4,../rollouts/teacher__nominal__seed4242/sim.mp4
teacher__nominal__seed4243,teacher,nominal,nominal,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,12.358943581581116,0.0,6.4,7.4,8.268,NA,NA,NA,NA,NA,0.010787151753902435,0.0,False,True,0.0,0.0,0.0053930199970189194,2.5959999999999983,6.313214302062988,0.2528239745208991,1.428,safety_stop,0,0.0,0,18,17,0,1998,0,0.0,8.538141855751746e-07,17.976,completed,15.98,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 15.98, ""event"": ""safety_preempted""}]",30,0.23999999999999844,unarmed,wrist_extension,False,NA,False,0.0,0.0,False,False,18,0.8658779727282107,0.7855881915311329,1.1701024593552574,1.184339497005567,18,0.8658779727282107,0.7855881915311329,1.1701024593552574,1.184339497005567,17,0.852235294117647,0.7839999999999998,1.1551999999999993,1.168,18,1.0476038800293788,0.9635877904947847,1.354345821723109,1.3668235760414973,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__nominal__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__nominal__seed4243/sim.mp4,True,../../video_reviews/teacher__nominal__seed4243/policy_review.mp4,../rollouts/teacher__nominal__seed4243/sim.mp4
teacher__placement_xm10_ym10mm__seed4242,teacher,placement_xm10_ym10mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,available,25.2,16.427497625350952,6.637989521026611,6.336,7.468,8.0,12.668000000000001,15.336,24.400000000000002,25.2,NA,0.3417630195617676,0.43634908344507667,True,True,1.8626451492309967e-07,1.0536712127723733e-06,0.0,15.596000000000004,9.692132949829102,0.2526216657465706,1.484,safety_stop,0,0.0,0,38,37,0,3923,0,0.0,1.585274937099257e-06,33.376,completed,31.38,wrist_extension,"{""wrist_extension"": 1}",1,[24.38],"[{""t"": 24.38, ""event"": ""policy_release_committed""}, {""t"": 25.3, ""event"": ""measured_unloaded_open""}, {""t"": 31.38, ""event"": ""safety_preempted""}]",26,0.20800000000000196,waiting_for_close,wrist_extension,True,6.18,True,0.0,0.34267668798565865,True,False,38,0.8128877123358267,0.773280558467377,1.1837991899810731,1.220687007997185,38,0.8128877123358267,0.773280558467377,1.1837991899810731,1.220687007997185,37,0.8175135135135134,0.7759999999999998,1.1871999999999998,1.224,38,0.9758643415866812,0.9540165519574657,1.3679534678638448,1.4047669370193034,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_ym10mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xm10_ym10mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xm10_ym10mm__seed4242/sim.mp4
teacher__placement_xm10_ym10mm__seed4243,teacher,placement_xm10_ym10mm,object_placement,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,9.52594004618004,0.0,6.468,8.068,9.268,NA,NA,NA,NA,NA,0.06604954600334167,0.0,False,True,1.8626451492309553e-06,4.466466161713672e-06,0.0,3.4720000000000013,5.404044151306152,0.25262168085999975,1.468,safety_stop,0,0.0,0,19,18,0,2080,0,30.788515090942383,8.849725112725082e-07,18.632,completed,16.636,hitbox_exit_top,"{""hitbox_exit_top"": 1}",0,[],"[{""t"": 16.636, ""event"": ""safety_preempted""}]",11,0.08799999999999919,unarmed,hitbox_exit_top,False,NA,False,0.0,0.0,False,False,19,0.8607812268953574,0.7773034339770675,1.185316603782121,1.2066393569111824,19,0.8607812268953574,0.7773034339770675,1.185316603782121,1.2066393569111824,18,0.8497777777777776,0.7839999999999989,1.1876,1.208,19,1.04218584623825,0.963194361072965,1.3700852897949516,1.3907956919865683,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_ym10mm__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_ym10mm__seed4243/sim.mp4,True,../../video_reviews/teacher__placement_xm10_ym10mm__seed4243/policy_review.mp4,../rollouts/teacher__placement_xm10_ym10mm__seed4243/sim.mp4
teacher__placement_xm10_yp0mm__seed4242,teacher,placement_xm10_yp0mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,available,NA,11.172386050224304,0.0,6.336,7.468,7.668,12.6,15.200000000000001,NA,NA,NA,0.34096240997314453,0.32627528387804766,False,False,5.4452083710233366e-06,0.00013399542331910197,0.0,9.939999999999998,5.716144561767578,0.252980946777841,1.436,safety_stop,0,0.0,0,21,20,0,2161,0,0.0,9.157508600310393e-07,19.28,completed,17.284,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 17.284, ""event"": ""safety_preempted""}]",0,0.0,holding,wrist_extension,False,NA,False,10.615415960550308,0.0,False,False,21,0.8201421388602328,0.7780285010812804,1.1398058900376782,1.1707764270249754,21,0.8201421388602328,0.7780285010812804,1.1398058900376782,1.1707764270249754,20,0.8256,0.7840000000000007,1.1456000000000002,1.176,21,0.9831956152948329,0.9572706670733169,1.323270054999739,1.3567486549727619,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_yp0mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xm10_yp0mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xm10_yp0mm__seed4242/sim.mp4
teacher__placement_xm10_yp0mm__seed4243,teacher,placement_xm10_yp0mm,object_placement,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,True,available,NA,41.81541442871094,4.454960346221924,6.868,8.536,11.268,13.936,16.136,NA,NA,20.268,0.3433573544025421,0.48055183425011605,False,True,5.053611036421576e-06,0.0002402932565410428,0.0059099376186208825,8.596,41.81541442871094,0.252980946777841,1.452,safety_stop,0,0.0,0,25,24,0,2571,0,149.44493103027344,1.0715425027285619e-06,22.56,completed,20.564,joint_speed,"{""joint_speed"": 1}",0,[],"[{""t"": 20.564, ""event"": ""safety_preempted""}]",0,0.0,holding,joint_speed,False,NA,False,0.0,0.0,False,False,25,0.8258513920009136,0.7752263790462166,1.1552120194304734,1.1888924459926784,25,0.8258513920009136,0.7752263790462166,1.1552120194304734,1.1888924459926784,24,0.8323333333333333,0.776,1.1576000000000002,1.192,25,0.9962811491079628,0.9550528320251033,1.3407123496290296,1.3763258340768516,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_yp0mm__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp0mm__seed4243/sim.mp4,True,../../video_reviews/teacher__placement_xm10_yp0mm__seed4243/policy_review.mp4,../rollouts/teacher__placement_xm10_yp0mm__seed4243/sim.mp4
teacher__placement_xm10_yp10mm__seed4242,teacher,placement_xm10_yp10mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,116.71423435211182,0.0,6.736,7.736,NA,NA,NA,NA,NA,NA,5.900859832763672e-06,0.0,False,True,0.0,0.0,0.005437713978279976,0.0,116.7142333984375,0.2536959283067189,1.436,safety_stop,0,0.0,0,21,20,0,2280,0,0.0,9.609684354927595e-07,20.232,completed,18.236,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 18.236, ""event"": ""safety_preempted""}]",23,0.18400000000000105,unarmed,wrist_extension,False,NA,False,0.0,0.0,False,True,21,0.853856473933861,0.7784483500290662,1.1702208099886775,1.1847056999104097,21,0.853856473933861,0.7784483500290662,1.1702208099886775,1.1847056999104097,20,0.8439999999999998,0.7839999999999998,1.1768,1.1920000000000002,21,1.0406954924387501,0.9693860049592331,1.3536550550488755,1.3744999739574268,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_yp10mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xm10_yp10mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xm10_yp10mm__seed4242/sim.mp4
teacher__placement_xm10_yp10mm__seed4243,teacher,placement_xm10_yp10mm,object_placement,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,23.87386155128479,0.0,6.6000000000000005,7.4,NA,NA,NA,NA,NA,NA,2.9802322387695312e-08,0.0,False,True,2.7136182750935527e-06,3.943194992381193e-05,0.012989458474468243,0.0,23.87386131286621,0.2536959283067189,1.436,safety_stop,0,0.0,0,18,17,0,1975,0,0.0,8.450746520338726e-07,17.792,completed,15.796000000000001,hitbox_exit_top,"{""hitbox_exit_top"": 1}",0,[],"[{""t"": 15.796000000000001, ""event"": ""safety_preempted""}]",15,0.11999999999999922,unarmed,hitbox_exit_top,False,NA,False,0.0,0.0,False,False,18,0.8645855895463481,0.7838405775255524,1.152790443651611,1.1748108869651332,18,0.8645855895463481,0.7838405775255524,1.152790443651611,1.1748108869651332,17,0.8522352941176472,0.7840000000000007,1.1567999999999994,1.176,18,1.050462313002855,0.9692983900313266,1.3380877798597794,1.366496796021238,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xm10_yp10mm__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xm10_yp10mm__seed4243/sim.mp4,True,../../video_reviews/teacher__placement_xm10_yp10mm__seed4243/policy_review.mp4,../rollouts/teacher__placement_xm10_yp10mm__seed4243/sim.mp4
teacher__placement_xp0_ym10mm__seed4242,teacher,placement_xp0_ym10mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,available,NA,11.536497235298157,0.0,6.2,7.4,7.936,12.468,NA,NA,NA,13.8,0.11743296682834625,0.0034924367530389756,False,True,1.0412502929101642e-06,0.0,0.0,4.468,5.794464111328125,0.2525816372069406,1.428,safety_stop,0,0.0,0,20,19,0,2080,0,0.0,8.849725112725082e-07,18.632,completed,16.636,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 16.636, ""event"": ""safety_preempted""}]",18,0.1440000000000019,unarmed,wrist_extension,False,NA,False,0.0,0.0,False,False,20,0.8557760262046941,0.7763775430503301,1.1627282069879583,1.1675290509592742,20,0.8557760262046941,0.7763775430503301,1.1627282069879583,1.1675290509592742,19,0.8433684210526317,0.7760000000000007,1.1464,1.168,20,1.0357842932629864,0.9630639280076139,1.3480250137567054,1.3518454530276358,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xp0_ym10mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xp0_ym10mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xp0_ym10mm__seed4242/sim.mp4
teacher__placement_xp0_ym10mm__seed4243,teacher,placement_xp0_ym10mm,object_placement,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,6.486200153827667,0.0,6.6000000000000005,7.868,9.268,NA,NA,NA,NA,NA,0.011899277567863464,0.0,False,True,0.0,1.8626451492311622e-06,0.002950548749047611,1.3279999999999994,3.287747859954834,0.25258162221999764,1.476,safety_stop,0,0.0,0,18,17,0,1953,0,0.0,8.367151025368003e-07,17.616,completed,15.620000000000001,hitbox_exit_top,"{""hitbox_exit_top"": 1}",0,[],"[{""t"": 15.620000000000001, ""event"": ""safety_preempted""}]",21,0.16799999999999926,unarmed,hitbox_exit_top,False,NA,False,0.0,0.0,False,False,18,0.8688326438811297,0.7784005005378276,1.1880678774788975,1.213364049908705,18,0.8688326438811297,0.7784005005378276,1.1880678774788975,1.213364049908705,17,0.8555294117647059,0.7839999999999989,1.1903999999999995,1.216,18,1.052936908950667,0.9654379975399934,1.3732489451766015,1.3982130439253524,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xp0_ym10mm__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_ym10mm__seed4243/sim.mp4,True,../../video_reviews/teacher__placement_xp0_ym10mm__seed4243/policy_review.mp4,../rollouts/teacher__placement_xp0_ym10mm__seed4243/sim.mp4
teacher__placement_xp0_yp10mm__seed4242,teacher,placement_xp0_yp10mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,available,25.8,78.27406311035156,1.8376129865646362,6.468,7.668,11.668000000000001,13.468,16.0,25.2,25.8,NA,0.3196706473827362,0.4010747734015904,True,True,4.679838019012256e-06,6.489921879089893e-05,0.0,13.599999999999998,78.27406311035156,0.2534226891401947,1.436,safety_stop,0,0.0,0,39,39,0,4045,0,0.0,1.6316324433773843e-06,34.352000000000004,completed,32.356,wrist_extension,"{""wrist_extension"": 1}",1,[25.172],"[{""t"": 25.172, ""event"": ""policy_release_committed""}, {""t"": 26.044, ""event"": ""measured_unloaded_open""}, {""t"": 32.356, ""event"": ""safety_preempted""}]",23,0.18400000000000105,waiting_for_close,wrist_extension,True,6.556000000000001,True,0.0,0.34308432787656784,True,False,39,0.8104484564720247,0.7756742789642885,1.1430389294051566,1.1732098460197449,39,0.8104484564720247,0.7756742789642885,1.1430389294051566,1.1732098460197449,39,0.8151794871794872,0.7760000000000034,1.1472000000000002,1.176000000000002,39,0.9760066298320174,0.9570307940011844,1.3274054995621556,1.3698764609871432,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xp0_yp10mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xp0_yp10mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xp0_yp10mm__seed4242/sim.mp4
teacher__placement_xp0_yp10mm__seed4243,teacher,placement_xp0_yp10mm,object_placement,4243,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4243,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4243,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,available,NA,24.258351802825928,0.0,6.4,7.4,10.200000000000001,NA,NA,NA,NA,NA,0.0004212707281112671,0.0,False,True,2.115558216645709e-05,0.00014018183739647686,0.012502021856896214,0.5359999999999996,24.258352279663086,0.2534226891401947,1.444,safety_stop,0,0.0,0,19,18,0,2035,0,0.0,8.678734282341338e-07,18.272000000000002,completed,16.276,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 16.276, ""event"": ""safety_preempted""}]",46,0.36799999999999855,unarmed,wrist_extension,False,NA,False,0.0,0.0,False,False,19,0.8826614205823525,0.7874444230692461,1.18239311829675,1.1843920840183273,19,0.8826614205823525,0.7874444230692461,1.18239311829675,1.1843920840183273,18,0.8737777777777779,0.7880000000000003,1.1852,1.1920000000000002,19,1.0690863700399764,0.9743827120400965,1.367513487895485,1.3690200330456719,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xp0_yp10mm__seed4243/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp0_yp10mm__seed4243/sim.mp4,True,../../video_reviews/teacher__placement_xp0_yp10mm__seed4243/policy_review.mp4,../rollouts/teacher__placement_xp0_yp10mm__seed4243/sim.mp4
teacher__placement_xp10_ym10mm__seed4242,teacher,placement_xp10_ym10mm,object_placement,4242,scored,True,,,,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp10_ym10mm__seed4242,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp10_ym10mm__seed4242,0.0,0.0,partial: pad contacts and reported events; no whole-robot collision certification,Uncalibrated tactile and wrist proxies; visual/contact geometry estimated,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,available,NA,8.633366793394089,0.0,6.268,7.4,7.936,12.068,14.536,NA,NA,NA,0.3157508969306946,0.28171818438639107,False,False,3.627810593856084e-06,7.211855846511294e-05,0.0,9.251999999999999,4.422904968261719,0.2525759677160849,1.428,safety_stop,0,0.0,0,20,19,0,2049,0,0.0,8.731931444572183e-07,18.384,completed,16.388,wrist_extension,"{""wrist_extension"": 1}",0,[],"[{""t"": 16.388, ""event"": ""safety_preempted""}]",0,0.0,holding,wrist_extension,False,NA,False,8.561820685863495,0.0,False,False,20,0.8172581391292624,0.7754260240471922,1.1403336993651465,1.1652937970357016,20,0.8172581391292624,0.7754260240471922,1.1403336993651465,1.1652937970357016,19,0.8231578947368421,0.7760000000000007,1.1464,1.168,20,0.9848997216438875,0.9548956659855321,1.324947400036035,1.3525539248948917,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/video_reviews/teacher__placement_xp10_ym10mm__seed4242/policy_review.mp4,True,/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_pick_place_v1/campaign/rollouts/teacher__placement_xp10_ym10mm__seed4242/sim.mp4,True,../../video_reviews/teacher__placement_xp10_ym10mm__seed4242/policy_review.mp4,../rollouts/teacher__placement_xp10_ym10mm__seed4242/sim.mp4
